mov ax,ax | 89c0
mov ax,bx | 89d8
mov ax,cx | 89c8
mov ax,dx | 89d0
mov ax,si | 89f0
mov ax,di | 89f8
mov ax,sp | 89e0
mov ax,[bx] | 8b07
mov ax,[si] | 8b04
mov ax,[di] | 8b05
mov ax,bp | 89e8
mov ax,[bp] | 8b4600
mov ax,0x1000 | b80010
mov bx,ax | 89c3
mov bx,bx | 89db
mov bx,cx | 89cb
mov bx,dx | 89d3
mov bx,si | 89f3
mov bx,di | 89fb
mov bx,sp | 89e3
mov bx,[bx] | 8b1f
mov bx,[si] | 8b1c
mov bx,[di] | 8b1d
mov bx,bp | 89eb
mov bx,[bp] | 8b5e00
mov bx,0x1000 | bb0010
mov cx,ax | 89c1
mov cx,bx | 89d9
mov cx,cx | 89c9
mov cx,dx | 89d1
mov cx,si | 89f1
mov cx,di | 89f9
mov cx,sp | 89e1
mov cx,[bx] | 8b0f
mov cx,[si] | 8b0c
mov cx,[di] | 8b0d
mov cx,bp | 89e9
mov cx,[bp] | 8b4e00
mov cx,0x1000 | b90010
mov dx,ax | 89c2
mov dx,bx | 89da
mov dx,cx | 89ca
mov dx,dx | 89d2
mov dx,si | 89f2
mov dx,di | 89fa
mov dx,sp | 89e2
mov dx,[bx] | 8b17
mov dx,[si] | 8b14
mov dx,[di] | 8b15
mov dx,bp | 89ea
mov dx,[bp] | 8b5600
mov dx,0x1000 | ba0010
mov si,ax | 89c6
mov si,bx | 89de
mov si,cx | 89ce
mov si,dx | 89d6
mov si,si | 89f6
mov si,di | 89fe
mov si,sp | 89e6
mov si,[bx] | 8b37
mov si,[si] | 8b34
mov si,[di] | 8b35
mov si,bp | 89ee
mov si,[bp] | 8b7600
mov si,0x1000 | be0010
mov di,ax | 89c7
mov di,bx | 89df
mov di,cx | 89cf
mov di,dx | 89d7
mov di,si | 89f7
mov di,di | 89ff
mov di,sp | 89e7
mov di,[bx] | 8b3f
mov di,[si] | 8b3c
mov di,[di] | 8b3d
mov di,bp | 89ef
mov di,[bp] | 8b7e00
mov di,0x1000 | bf0010
mov sp,ax | 89c4
mov sp,bx | 89dc
mov sp,cx | 89cc
mov sp,dx | 89d4
mov sp,si | 89f4
mov sp,di | 89fc
mov sp,sp | 89e4
mov sp,[bx] | 8b27
mov sp,[si] | 8b24
mov sp,[di] | 8b25
mov sp,bp | 89ec
mov sp,[bp] | 8b6600
mov sp,0x1000 | bc0010
mov [bx],ax | 8907
mov [bx],bx | 891f
mov [bx],cx | 890f
mov [bx],dx | 8917
mov [bx],si | 8937
mov [bx],di | 893f
mov [bx],sp | 8927
mov [bx],bp | 892f
mov [si],ax | 8904
mov [si],bx | 891c
mov [si],cx | 890c
mov [si],dx | 8914
mov [si],si | 8934
mov [si],di | 893c
mov [si],sp | 8924
mov [si],bp | 892c
mov [di],ax | 8905
mov [di],bx | 891d
mov [di],cx | 890d
mov [di],dx | 8915
mov [di],si | 8935
mov [di],di | 893d
mov [di],sp | 8925
mov [di],bp | 892d
mov bp,ax | 89c5
mov bp,bx | 89dd
mov bp,cx | 89cd
mov bp,dx | 89d5
mov bp,si | 89f5
mov bp,di | 89fd
mov bp,sp | 89e5
mov bp,[bx] | 8b2f
mov bp,[si] | 8b2c
