0004|add [si],al
0005|add [di],al
00060010|add [0x1000],al
0006ff00|add [0xff],al
0007|add [bx],al
000c|add [si],cl
000d|add [di],cl
000e0010|add [0x1000],cl
000eff00|add [0xff],cl
000f|add [bx],cl
0014|add [si],dl
0015|add [di],dl
00160010|add [0x1000],dl
0016ff00|add [0xff],dl
0017|add [bx],dl
001c|add [si],bl
001d|add [di],bl
001e0010|add [0x1000],bl
001eff00|add [0xff],bl
001f|add [bx],bl
0024|add [si],ah
0025|add [di],ah
00260010|add [0x1000],ah
0026ff00|add [0xff],ah
0027|add [bx],ah
002c|add [si],ch
002d|add [di],ch
002e0010|add [0x1000],ch
002eff00|add [0xff],ch
002f|add [bx],ch
0034|add [si],dh
0035|add [di],dh
00360010|add [0x1000],dh
0036ff00|add [0xff],dh
0037|add [bx],dh
003c|add [si],bh
003d|add [di],bh
003e0010|add [0x1000],bh
003eff00|add [0xff],bh
003f|add [bx],bh
004600|add [bp],al
004e00|add [bp],cl
005600|add [bp],dl
005e00|add [bp],bl
006600|add [bp],ah
006e00|add [bp],ch
007600|add [bp],dh
007e00|add [bp],bh
00c0|add al,al
00c1|add cl,al
00c2|add dl,al
00c3|add bl,al
00c4|add ah,al
00c5|add ch,al
00c6|add dh,al
00c7|add bh,al
00c8|add al,cl
00c9|add cl,cl
00ca|add dl,cl
00cb|add bl,cl
00cc|add ah,cl
00cd|add ch,cl
00ce|add dh,cl
00cf|add bh,cl
00d0|add al,dl
00d1|add cl,dl
00d2|add dl,dl
00d3|add bl,dl
00d4|add ah,dl
00d5|add ch,dl
00d6|add dh,dl
00d7|add bh,dl
00d8|add al,bl
00d9|add cl,bl
00da|add dl,bl
00db|add bl,bl
00dc|add ah,bl
00dd|add ch,bl
00de|add dh,bl
00df|add bh,bl
00e0|add al,ah
00e1|add cl,ah
00e2|add dl,ah
00e3|add bl,ah
00e4|add ah,ah
00e5|add ch,ah
00e6|add dh,ah
00e7|add bh,ah
00e8|add al,ch
00e9|add cl,ch
00ea|add dl,ch
00eb|add bl,ch
00ec|add ah,ch
00ed|add ch,ch
00ee|add dh,ch
00ef|add bh,ch
00f0|add al,dh
00f1|add cl,dh
00f2|add dl,dh
00f3|add bl,dh
00f4|add ah,dh
00f5|add ch,dh
00f6|add dh,dh
00f7|add bh,dh
00f8|add al,bh
00f9|add cl,bh
00fa|add dl,bh
00fb|add bl,bh
00fc|add ah,bh
00fd|add ch,bh
00fe|add dh,bh
00ff|add bh,bh
0104|add [si],ax
0105|add [di],ax
01060010|add [0x1000],ax
0106ff00|add [0xff],ax
0107|add [bx],ax
010c|add [si],cx
010d|add [di],cx
010e0010|add [0x1000],cx
010eff00|add [0xff],cx
010f|add [bx],cx
0114|add [si],dx
0115|add [di],dx
01160010|add [0x1000],dx
0116ff00|add [0xff],dx
0117|add [bx],dx
011c|add [si],bx
011d|add [di],bx
011e0010|add [0x1000],bx
011eff00|add [0xff],bx
011f|add [bx],bx
0124|add [si],sp
0125|add [di],sp
01260010|add [0x1000],sp
0126ff00|add [0xff],sp
0127|add [bx],sp
012c|add [si],bp
012d|add [di],bp
012e0010|add [0x1000],bp
012eff00|add [0xff],bp
012f|add [bx],bp
0134|add [si],si
0135|add [di],si
01360010|add [0x1000],si
0136ff00|add [0xff],si
0137|add [bx],si
013c|add [si],di
013d|add [di],di
013e0010|add [0x1000],di
013eff00|add [0xff],di
013f|add [bx],di
014600|add [bp],ax
014e00|add [bp],cx
015600|add [bp],dx
015e00|add [bp],bx
016600|add [bp],sp
016e00|add [bp],bp
017600|add [bp],si
017e00|add [bp],di
01c0|add ax,ax
01c1|add cx,ax
01c2|add dx,ax
01c3|add bx,ax
01c4|add sp,ax
01c5|add bp,ax
01c6|add si,ax
01c7|add di,ax
01c8|add ax,cx
01c9|add cx,cx
01ca|add dx,cx
01cb|add bx,cx
01cc|add sp,cx
01cd|add bp,cx
01ce|add si,cx
01cf|add di,cx
01d0|add ax,dx
01d1|add cx,dx
01d2|add dx,dx
01d3|add bx,dx
01d4|add sp,dx
01d5|add bp,dx
01d6|add si,dx
01d7|add di,dx
01d8|add ax,bx
01d9|add cx,bx
01da|add dx,bx
01db|add bx,bx
01dc|add sp,bx
01dd|add bp,bx
01de|add si,bx
