
 00c0|add al,al 
 00c1|add cl,al 
 00c2|add dl,al 
 00c3|add bl,al 
 00c4|add ah,al 
 00c5|add ch,al 
 00c6|add dh,al 
 00c7|add bh,al 
 00c8|add al,cl 
 00c9|add cl,cl 
 00ca|add dl,cl 
 00cb|add bl,cl 
 00cc|add ah,cl 
 00cd|add ch,cl 
 00ce|add dh,cl 
 00cf|add bh,cl 
 00d0|add al,dl 
 00d1|add cl,dl 
 00d2|add dl,dl 
 00d3|add bl,dl 
 00d4|add ah,dl 
 00d5|add ch,dl 
 00d6|add dh,dl 
 00d7|add bh,dl 
 00d8|add al,bl 
 00d9|add cl,bl 
 00da|add dl,bl 
 00db|add bl,bl 
 00dc|add ah,bl 
 00dd|add ch,bl 
 00de|add dh,bl 
 00df|add bh,bl 
 00e0|add al,ah 
 00e1|add cl,ah 
 00e2|add dl,ah 
 00e3|add bl,ah 
 00e4|add ah,ah 
 00e5|add ch,ah 
 00e6|add dh,ah 
 00e7|add bh,ah 
 00e8|add al,ch 
 00e9|add cl,ch 
 00ea|add dl,ch 
 00eb|add bl,ch 
 00ec|add ah,ch 
 00ed|add ch,ch 
 00ee|add dh,ch 
 00ef|add bh,ch 
 00f0|add al,dh 
 00f1|add cl,dh 
 00f2|add dl,dh 
 00f3|add bl,dh 
 00f4|add ah,dh 
 00f5|add ch,dh 
 00f6|add dh,dh 
 00f7|add bh,dh 
 00f8|add al,bh 
 00f9|add cl,bh 
 00fa|add dl,bh 
 00fb|add bl,bh 
 00fc|add ah,bh 
 00fd|add ch,bh 
 00fe|add dh,bh 
 00ff|add bh,bh 
 0104|add [si],ax 
 0105|add [di],ax 
 0107|add [bx],ax 
 010c|add [si],cx 
 010d|add [di],cx 
 010f|add [bx],cx 
 0114|add [si],dx 
 0115|add [di],dx 
 0117|add [bx],dx 
 011c|add [si],bx 
 011d|add [di],bx 
 011f|add [bx],bx 
 0124|add [si],sp 
 0125|add [di],sp 
 0127|add [bx],sp 
 012c|add [si],bp 
 012d|add [di],bp 
 012f|add [bx],bp 
 0134|add [si],si 
 0135|add [di],si 
 0137|add [bx],si 
 013c|add [si],di 
 013d|add [di],di 
 013f|add [bx],di 
 014600|add [bp],ax 
 014e00|add [bp],cx 
 015600|add [bp],dx 
 015e00|add [bp],bx 
 016600|add [bp],sp 
 016e00|add [bp],bp 
 017600|add [bp],si 
 017e00|add [bp],di 
 01c0|add ax,ax 
 01c1|add cx,ax 
 01c2|add dx,ax 
 01c3|add bx,ax 
 01c4|add sp,ax 
 01c5|add bp,ax 
 01c6|add si,ax 
 01c7|add di,ax 
 01c8|add ax,cx 
 01c9|add cx,cx 
 01ca|add dx,cx 
 01cb|add bx,cx 
 01cc|add sp,cx 
 01cd|add bp,cx 
 01ce|add si,cx 
 01cf|add di,cx 
 01d0|add ax,dx 
 01d1|add cx,dx 
 01d2|add dx,dx 
 01d3|add bx,dx 
 01d4|add sp,dx 
 01d5|add bp,dx 
 01d6|add si,dx 
 01d7|add di,dx 
 01d8|add ax,bx 
 01d9|add cx,bx 
 01da|add dx,bx 
 01db|add bx,bx 
 01dc|add sp,bx 
 01dd|add bp,bx 
 01de|add si,bx 
 01df|add di,bx 
 01e0|add ax,sp 
 01e1|add cx,sp 
 01e2|add dx,sp 
 01e3|add bx,sp 
 01e4|add sp,sp 
 01e5|add bp,sp 
 01e6|add si,sp 
 01e7|add di,sp 
 01e8|add ax,bp 
 01e9|add cx,bp 
 01ea|add dx,bp 
 01eb|add bx,bp 
 01ec|add sp,bp 
 01ed|add bp,bp 
 01ee|add si,bp 
 01ef|add di,bp 
 01f0|add ax,si 
 01f1|add cx,si 
 01f2|add dx,si 
 01f3|add bx,si 
 01f4|add sp,si 
 01f5|add bp,si 
 01f6|add si,si 
 01f7|add di,si 
 01f8|add ax,di 
 01f9|add cx,di 
 01fa|add dx,di 
 01fb|add bx,di 
 01fc|add sp,di 
 01fd|add bp,di 
 01fe|add si,di 
 01ff|add di,di 
 0304|add ax,[si] 
 0305|add ax,[di] 
 0307|add ax,[bx] 
 030c|add cx,[si] 
 030d|add cx,[di] 
 030f|add cx,[bx] 
 0314|add dx,[si] 
 0315|add dx,[di] 
 0317|add dx,[bx] 
 031c|add bx,[si] 
 031d|add bx,[di] 
 031f|add bx,[bx] 
 0324|add sp,[si] 
 0325|add sp,[di] 
 0327|add sp,[bx] 
 032c|add bp,[si] 
 032d|add bp,[di] 
 032f|add bp,[bx] 
 0334|add si,[si] 
 0335|add si,[di] 
 0337|add si,[bx] 
 033c|add di,[si] 
 033d|add di,[di] 
 033f|add di,[bx] 
 034600|add ax,[bp] 
 034e00|add cx,[bp] 
 035600|add dx,[bp] 
 035e00|add bx,[bp] 
 036600|add sp,[bp] 
 036e00|add bp,[bp] 
 037600|add si,[bp] 
 037e00|add di,[bp] 
 04ff|add al,0xff 
 050010|add ax,0x1000 
 08c0|or al,al 
 08c1|or cl,al 
 08c2|or dl,al 
 08c3|or bl,al 
 08c4|or ah,al 
 08c5|or ch,al 
 08c6|or dh,al 
 08c7|or bh,al 
 08c8|or al,cl 
 08c9|or cl,cl 
 08ca|or dl,cl 
 08cb|or bl,cl 
 08cc|or ah,cl 
 08cd|or ch,cl 
 08ce|or dh,cl 
 08cf|or bh,cl 
 08d0|or al,dl 
 08d1|or cl,dl 
 08d2|or dl,dl 
 08d3|or bl,dl 
 08d4|or ah,dl 
 08d5|or ch,dl 
 08d6|or dh,dl 
 08d7|or bh,dl 
 08d8|or al,bl 
 08d9|or cl,bl 
 08da|or dl,bl 
 08db|or bl,bl 
 08dc|or ah,bl 
 08dd|or ch,bl 
 08de|or dh,bl 
 08df|or bh,bl 
 08e0|or al,ah 
 08e1|or cl,ah 
 08e2|or dl,ah 
 08e3|or bl,ah 
 08e4|or ah,ah 
 08e5|or ch,ah 
 08e6|or dh,ah 
 08e7|or bh,ah 
 08e8|or al,ch 
 08e9|or cl,ch 
 08ea|or dl,ch 
 08eb|or bl,ch 
 08ec|or ah,ch 
 08ed|or ch,ch 
 08ee|or dh,ch 
 08ef|or bh,ch 
 08f0|or al,dh 
 08f1|or cl,dh 
 08f2|or dl,dh 
 08f3|or bl,dh 
 08f4|or ah,dh 
 08f5|or ch,dh 
 08f6|or dh,dh 
 08f7|or bh,dh 
 08f8|or al,bh 
 08f9|or cl,bh 
 08fa|or dl,bh 
 08fb|or bl,bh 
 08fc|or ah,bh 
 08fd|or ch,bh 
 08fe|or dh,bh 
 08ff|or bh,bh 
 0904|or [si],ax 
 0905|or [di],ax 
 0907|or [bx],ax 
 090c|or [si],cx 
 090d|or [di],cx 
 090f|or [bx],cx 
 0914|or [si],dx 
 0915|or [di],dx 
 0917|or [bx],dx 
 091c|or [si],bx 
 091d|or [di],bx 
 091f|or [bx],bx 
 0924|or [si],sp 
 0925|or [di],sp 
 0927|or [bx],sp 
 092c|or [si],bp 
 092d|or [di],bp 
 092f|or [bx],bp 
 0934|or [si],si 
 0935|or [di],si 
 0937|or [bx],si 
 093c|or [si],di 
 093d|or [di],di 
 093f|or [bx],di 
 094600|or [bp],ax 
 094e00|or [bp],cx 
 095600|or [bp],dx 
 095e00|or [bp],bx 
 096600|or [bp],sp 
 096e00|or [bp],bp 
 097600|or [bp],si 
 097e00|or [bp],di 
 09c0|or ax,ax 
 09c1|or cx,ax 
 09c2|or dx,ax 
 09c3|or bx,ax 
 09c4|or sp,ax 
 09c5|or bp,ax 
 09c6|or si,ax 
 09c7|or di,ax 
 09c8|or ax,cx 
 09c9|or cx,cx 
 09ca|or dx,cx 
 09cb|or bx,cx 
 09cc|or sp,cx 
